boss_name,death_time,next_spawn,server
felis,2026-08-17 12:44:00,2026-08-17 21:44:00,1
basila,2026-08-17 13:46:00,2026-08-17 21:46:00,1
samuel,2026-08-17 03:46:00,2026-08-18 03:46:00,1
tromba,2026-08-16 14:47:00,2026-08-18 01:47:00,1
randor,2026-08-17 11:23:00,2026-08-17 20:23:00,1
selu,2026-08-17 05:43:00,2026-08-18 05:43:00,1
glaki,2026-08-17 11:54:00,2026-08-17 19:54:00,1
talkin,2026-08-17 09:04:00,2026-08-18 01:04:00,1
core susceptor,2026-08-17 13:50:00,2026-08-17 23:50:00,1
mutated cruma,2026-08-17 13:49:00,2026-08-17 21:49:00,1
flint,2026-08-17 14:48:00,2026-08-18 00:48:00,1
stone,2026-08-17 15:07:00,2026-08-17 22:07:00,1
lepiro,2026-08-17 11:47:00,2026-08-18 01:47:00,1
queen ant,2026-08-17 13:51:00,2026-08-18 01:51:00,1
hysilome,2026-08-17 13:46:00,2026-08-18 01:46:00,1
saba,2026-08-17 09:06:00,2026-08-17 21:06:00,1
pan draeed,2026-08-17 09:05:00,2026-08-17 21:05:00,1
cabrio,2026-08-17 07:42:00,2026-08-18 07:42:00,1
balbo,2026-08-17 09:04:00,2026-08-17 21:04:00,1
timitris,2026-08-17 09:05:00,2026-08-18 01:05:00,1
contam,2026-08-17 09:08:00,2026-08-18 01:08:00,1
enkura,2026-08-17 11:46:00,2026-08-17 23:46:00,1
breka,2026-08-17 15:05:00,2026-08-17 21:05:00,1
matura,2026-08-17 15:05:00,2026-08-17 21:05:00,1
dragon,2026-08-17 12:02:00,2026-08-18 00:02:00,1
timiniel,2026-08-17 09:12:00,2026-08-18 01:12:00,1
kelsus,2026-08-17 05:41:00,2026-08-18 01:41:00,1
medusa,2026-08-17 09:06:00,2026-08-18 05:06:00,1
talakin,2026-08-17 09:04:00,2026-08-18 05:04:00,1
sarka,2026-08-17 09:06:00,2026-08-18 05:06:00,1
katan,2026-08-17 09:09:00,2026-08-18 05:09:00,1
harp,2026-08-16 23:43:00,2026-08-18 15:43:00,1
mirror,2026-08-17 14:48:00,2026-08-18 01:48:00,1
corun,2026-08-17 13:51:00,2026-08-18 01:51:00,1
black lily,2026-08-17 13:46:00,2026-08-18 01:46:00,1
andras,2026-08-17 04:45:00,2026-08-18 10:45:00,1
orfen,2026-08-17 00:04:00,2026-08-18 00:04:00,1
pan narod,2026-08-17 14:12:00,2026-08-18 00:12:00,1
tempest,2026-08-17 15:04:00,2026-08-17 21:04:00,1
gahareth,2026-08-17 11:44:00,2026-08-17 20:44:00,1
Olkuth,2026-08-17 05:39:00,2026-08-17 23:39:00,1
thanatos,2026-08-16 23:41:00,2026-08-18 00:41:00,1
Rahha,2026-08-17 05:39:00,2026-08-17 23:39:00,1
behemoth,2026-08-17 15:11:00,2026-08-18 00:11:00,1
chertuba,2026-08-17 11:45:00,2026-08-17 23:45:00,1
olkuth,2026-08-17 00:09:00,2026-08-18 00:09:00,1
rahha,2026-08-16 23:04:00,2026-08-18 08:04:00,1
queen ant,2026-08-17 14:10:00,2026-08-17 20:10:00,2
stone,2026-08-17 15:18:00,2026-08-17 22:18:00,2
tromba,2026-08-17 08:20:00,2026-08-17 22:20:00,2
dragon,2026-08-17 08:49:00,2026-08-17 20:49:00,2
kelsus,2026-08-17 09:09:00,2026-08-18 05:09:00,2
breka,2026-08-17 09:12:00,2026-08-17 21:12:00,2
basila,2026-08-17 13:13:00,2026-08-17 21:13:00,2
medusa,2026-08-17 09:14:00,2026-08-18 05:14:00,2
sarka,2026-08-17 09:14:00,2026-08-18 05:14:00,2
talakin,2026-08-17 09:14:00,2026-08-18 05:14:00,2
timitris,2026-08-17 09:15:00,2026-08-18 01:15:00,2
pan draeed,2026-08-17 09:15:00,2026-08-17 21:15:00,2
chertuba,2026-08-17 09:18:00,2026-08-17 21:18:00,2
contam,2026-08-17 09:22:00,2026-08-18 01:22:00,2
saba,2026-08-17 09:17:00,2026-08-17 21:17:00,2
katan,2026-08-17 09:23:00,2026-08-18 05:23:00,2
timiniel,2026-08-17 09:41:00,2026-08-18 01:41:00,2
randor,2026-08-17 11:23:00,2026-08-17 20:23:00,2
enkura,2026-08-17 11:46:00,2026-08-17 23:46:00,2
matura,2026-08-17 11:55:00,2026-08-17 23:55:00,2
lepiro,2026-08-17 12:09:00,2026-08-18 02:09:00,2
gahareth,2026-08-17 12:24:00,2026-08-17 21:24:00,2
glaki,2026-08-17 13:49:00,2026-08-17 21:49:00,2
mutated cruma,2026-08-17 14:01:00,2026-08-17 22:01:00,2
black lily,2026-08-17 14:01:00,2026-08-18 02:01:00,2
corun,2026-08-17 14:04:00,2026-08-18 02:04:00,2
hysilome,2026-08-17 14:05:00,2026-08-17 20:05:00,2
behemoth,2026-08-17 06:36:00,2026-08-18 00:36:00,2
mirror,2026-08-17 04:52:00,2026-08-18 02:52:00,2
samuel,2026-08-17 04:46:00,2026-08-18 04:46:00,2
balbo,2026-08-17 05:45:00,2026-08-18 05:45:00,2
selu,2026-08-17 05:51:00,2026-08-18 05:51:00,2
cabrio,2026-08-17 08:02:00,2026-08-17 20:02:00,2
andras,2026-08-17 05:03:00,2026-08-17 20:03:00,2
harp,2026-08-17 00:06:00,2026-08-17 20:06:00,2
